Attack_Vector,Attack_Complexity,User_Interaction,Privileges_Required,Confidentiality_Impact,Integrity_Impact,Availability_Impact,Count
NETWORK,HIGH,NONE,NONE,HIGH,HIGH,NONE,14
NETWORK,LOW,NONE,LOW,LOW,LOW,LOW,13
NETWORK,LOW,REQUIRED,NONE,HIGH,LOW,NONE,13
NETWORK,LOW,NONE,NONE,HIGH,NONE,HIGH,13
ADJACENT_NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,12
PHYSICAL,LOW,NONE,NONE,HIGH,NONE,NONE,10
NETWORK,LOW,NONE,HIGH,HIGH,NONE,NONE,9
NETWORK,HIGH,REQUIRED,NONE,HIGH,NONE,NONE,9
NETWORK,LOW,REQUIRED,LOW,HIGH,HIGH,HIGH,9
NETWORK,LOW,NONE,NONE,LOW,LOW,NONE,9
LOCAL,LOW,REQUIRED,LOW,HIGH,HIGH,HIGH,8
NETWORK,LOW,NONE,HIGH,NONE,HIGH,NONE,8
NETWORK,LOW,NONE,LOW,NONE,LOW,LOW,8
NETWORK,LOW,NONE,LOW,NONE,HIGH,HIGH,7
LOCAL,LOW,NONE,NONE,HIGH,NONE,NONE,7
NETWORK,HIGH,NONE,NONE,LOW,NONE,NONE,7
ADJACENT_NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH,6
NETWORK,LOW,NONE,HIGH,LOW,NONE,NONE,6
LOCAL,LOW,NONE,LOW,LOW,NONE,NONE,6
ADJACENT_NETWORK,HIGH,NONE,NONE,HIGH,HIGH,HIGH,5
NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,NONE,5
ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,5
LOCAL,LOW,REQUIRED,NONE,LOW,NONE,NONE,5
NETWORK,HIGH,NONE,HIGH,HIGH,HIGH,HIGH,5
NETWORK,LOW,REQUIRED,NONE,NONE,NONE,LOW,5
PHYSICAL,LOW,NONE,HIGH,HIGH,HIGH,HIGH,4
NETWORK,LOW,REQUIRED,LOW,NONE,HIGH,NONE,4
LOCAL,LOW,NONE,HIGH,NONE,HIGH,NONE,4
NETWORK,LOW,NONE,HIGH,NONE,HIGH,HIGH,4
LOCAL,LOW,REQUIRED,NONE,HIGH,NONE,HIGH,4
PHYSICAL,HIGH,NONE,NONE,HIGH,NONE,NONE,4
ADJACENT_NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE,4
NETWORK,LOW,NONE,LOW,HIGH,NONE,HIGH,4
NETWORK,LOW,NONE,HIGH,NONE,LOW,HIGH,4
NETWORK,LOW,NONE,NONE,NONE,HIGH,HIGH,4
NETWORK,HIGH,REQUIRED,NONE,LOW,LOW,NONE,4
NETWORK,LOW,NONE,NONE,HIGH,LOW,NONE,4
LOCAL,LOW,NONE,NONE,HIGH,HIGH,HIGH,4
NETWORK,LOW,REQUIRED,HIGH,HIGH,HIGH,HIGH,4
LOCAL,LOW,NONE,HIGH,HIGH,NONE,NONE,4
NETWORK,HIGH,REQUIRED,NONE,NONE,NONE,HIGH,4
LOCAL,LOW,NONE,LOW,NONE,HIGH,HIGH,4
NETWORK,HIGH,NONE,NONE,LOW,LOW,LOW,4
NETWORK,HIGH,NONE,NONE,NONE,NONE,LOW,4
NETWORK,LOW,NONE,LOW,NONE,NONE,LOW,4
NETWORK,HIGH,NONE,LOW,NONE,HIGH,NONE,3
NETWORK,LOW,NONE,HIGH,LOW,LOW,LOW,3
PHYSICAL,LOW,NONE,NONE,NONE,NONE,HIGH,3
PHYSICAL,HIGH,NONE,NONE,HIGH,HIGH,HIGH,3
NETWORK,HIGH,NONE,NONE,LOW,LOW,NONE,3
ADJACENT_NETWORK,HIGH,NONE,NONE,NONE,NONE,HIGH,3
ADJACENT_NETWORK,HIGH,NONE,NONE,HIGH,NONE,NONE,3
LOCAL,LOW,NONE,HIGH,NONE,NONE,HIGH,3
NETWORK,LOW,NONE,LOW,HIGH,NONE,LOW,3
ADJACENT_NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH,3
LOCAL,HIGH,NONE,LOW,NONE,HIGH,NONE,3
LOCAL,HIGH,NONE,LOW,NONE,HIGH,HIGH,3
NETWORK,HIGH,NONE,HIGH,NONE,NONE,HIGH,3
LOCAL,LOW,NONE,LOW,LOW,LOW,NONE,3
NETWORK,LOW,REQUIRED,LOW,HIGH,LOW,NONE,3
LOCAL,LOW,REQUIRED,NONE,LOW,LOW,LOW,3
LOCAL,HIGH,NONE,LOW,NONE,NONE,HIGH,3
NETWORK,LOW,REQUIRED,NONE,LOW,HIGH,NONE,3
NETWORK,LOW,NONE,LOW,HIGH,LOW,HIGH,3
NETWORK,LOW,REQUIRED,NONE,LOW,LOW,LOW,3
NETWORK,LOW,NONE,NONE,NONE,LOW,HIGH,2
NETWORK,LOW,NONE,NONE,LOW,NONE,HIGH,2
NETWORK,HIGH,REQUIRED,NONE,LOW,NONE,NONE,2
NETWORK,LOW,NONE,NONE,LOW,HIGH,NONE,2
NETWORK,HIGH,REQUIRED,NONE,NONE,HIGH,NONE,2
NETWORK,LOW,REQUIRED,NONE,NONE,HIGH,HIGH,2
NETWORK,LOW,REQUIRED,HIGH,LOW,LOW,LOW,2
NETWORK,LOW,NONE,NONE,NONE,LOW,LOW,2
NETWORK,LOW,NONE,LOW,NONE,LOW,HIGH,2
NETWORK,LOW,NONE,LOW,LOW,LOW,HIGH,2
NETWORK,LOW,NONE,LOW,HIGH,LOW,NONE,2
NETWORK,LOW,NONE,HIGH,LOW,LOW,NONE,2
NETWORK,LOW,NONE,HIGH,NONE,NONE,LOW,2
ADJACENT_NETWORK,HIGH,NONE,HIGH,HIGH,HIGH,HIGH,2
PHYSICAL,LOW,REQUIRED,NONE,HIGH,NONE,NONE,2
NETWORK,HIGH,REQUIRED,LOW,LOW,LOW,NONE,2
NETWORK,HIGH,NONE,LOW,LOW,NONE,NONE,2
ADJACENT_NETWORK,LOW,NONE,NONE,NONE,NONE,LOW,2
LOCAL,LOW,REQUIRED,LOW,NONE,NONE,HIGH,2
ADJACENT_NETWORK,LOW,NONE,NONE,NONE,LOW,NONE,2
LOCAL,LOW,REQUIRED,NONE,LOW,HIGH,HIGH,2
LOCAL,HIGH,NONE,HIGH,HIGH,NONE,NONE,2
LOCAL,LOW,NONE,LOW,NONE,LOW,NONE,2
ADJACENT_NETWORK,LOW,NONE,HIGH,HIGH,HIGH,HIGH,2
LOCAL,LOW,NONE,LOW,HIGH,NONE,HIGH,2
ADJACENT_NETWORK,HIGH,NONE,NONE,NONE,LOW,NONE,2
ADJACENT_NETWORK,HIGH,NONE,NONE,NONE,HIGH,NONE,2
LOCAL,LOW,NONE,LOW,HIGH,HIGH,NONE,2
NETWORK,HIGH,REQUIRED,HIGH,LOW,NONE,NONE,2
NETWORK,HIGH,NONE,NONE,NONE,LOW,NONE,2
LOCAL,HIGH,REQUIRED,NONE,NONE,HIGH,NONE,2
NETWORK,LOW,REQUIRED,LOW,HIGH,LOW,LOW,1
LOCAL,HIGH,NONE,LOW,LOW,LOW,NONE,1
LOCAL,HIGH,NONE,NONE,LOW,LOW,LOW,1
LOCAL,HIGH,NONE,NONE,HIGH,NONE,NONE,1
NETWORK,LOW,REQUIRED,NONE,HIGH,LOW,LOW,1
LOCAL,HIGH,NONE,NONE,HIGH,HIGH,HIGH,1
NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,LOW,1
LOCAL,HIGH,NONE,HIGH,NONE,NONE,HIGH,1
LOCAL,HIGH,NONE,LOW,HIGH,NONE,HIGH,1
LOCAL,HIGH,NONE,LOW,HIGH,HIGH,NONE,1
LOCAL,HIGH,NONE,LOW,LOW,LOW,LOW,1
LOCAL,HIGH,NONE,LOW,HIGH,LOW,NONE,1
LOCAL,HIGH,NONE,LOW,LOW,HIGH,HIGH,1
NETWORK,LOW,REQUIRED,LOW,LOW,LOW,LOW,1
ADJACENT_NETWORK,LOW,REQUIRED,NONE,HIGH,NONE,NONE,1
NETWORK,LOW,REQUIRED,LOW,HIGH,LOW,HIGH,1
LOCAL,HIGH,NONE,HIGH,HIGH,LOW,NONE,1
ADJACENT_NETWORK,LOW,NONE,NONE,LOW,NONE,NONE,1
ADJACENT_NETWORK,LOW,REQUIRED,LOW,HIGH,HIGH,NONE,1
LOCAL,HIGH,REQUIRED,HIGH,HIGH,NONE,NONE,1
PHYSICAL,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH,1
ADJACENT_NETWORK,HIGH,NONE,LOW,HIGH,HIGH,HIGH,1
PHYSICAL,LOW,NONE,NONE,NONE,LOW,NONE,1
PHYSICAL,LOW,NONE,NONE,LOW,NONE,NONE,1
PHYSICAL,LOW,NONE,NONE,LOW,LOW,LOW,1
ADJACENT_NETWORK,HIGH,NONE,NONE,HIGH,HIGH,NONE,1
PHYSICAL,LOW,NONE,NONE,HIGH,HIGH,NONE,1
ADJACENT_NETWORK,HIGH,NONE,NONE,HIGH,LOW,HIGH,1
PHYSICAL,LOW,NONE,LOW,HIGH,HIGH,HIGH,1
PHYSICAL,LOW,NONE,HIGH,HIGH,NONE,NONE,1
PHYSICAL,HIGH,REQUIRED,HIGH,HIGH,HIGH,LOW,1
PHYSICAL,HIGH,NONE,NONE,LOW,LOW,NONE,1
ADJACENT_NETWORK,HIGH,NONE,NONE,NONE,NONE,LOW,1
ADJACENT_NETWORK,HIGH,REQUIRED,HIGH,HIGH,HIGH,HIGH,1
ADJACENT_NETWORK,HIGH,REQUIRED,HIGH,NONE,HIGH,HIGH,1
ADJACENT_NETWORK,LOW,NONE,LOW,HIGH,HIGH,NONE,1
ADJACENT_NETWORK,LOW,NONE,LOW,HIGH,NONE,NONE,1
ADJACENT_NETWORK,LOW,NONE,LOW,LOW,LOW,LOW,1
ADJACENT_NETWORK,LOW,NONE,LOW,NONE,LOW,NONE,1
LOCAL,HIGH,REQUIRED,HIGH,HIGH,HIGH,HIGH,1
NETWORK,LOW,NONE,NONE,LOW,NONE,LOW,1
LOCAL,HIGH,REQUIRED,LOW,HIGH,HIGH,HIGH,1
NETWORK,HIGH,NONE,LOW,LOW,LOW,LOW,1
LOCAL,LOW,REQUIRED,NONE,NONE,LOW,NONE,1
LOCAL,LOW,REQUIRED,NONE,NONE,NONE,LOW,1
NETWORK,HIGH,NONE,HIGH,HIGH,HIGH,NONE,1
NETWORK,HIGH,NONE,HIGH,HIGH,NONE,NONE,1
NETWORK,HIGH,NONE,HIGH,LOW,LOW,NONE,1
NETWORK,HIGH,NONE,HIGH,NONE,LOW,HIGH,1
NETWORK,LOW,NONE,HIGH,NONE,LOW,NONE,1
NETWORK,HIGH,NONE,LOW,HIGH,HIGH,LOW,1
NETWORK,HIGH,NONE,LOW,HIGH,HIGH,NONE,1
NETWORK,HIGH,NONE,LOW,LOW,LOW,NONE,1
LOCAL,HIGH,REQUIRED,LOW,HIGH,HIGH,NONE,1
NETWORK,HIGH,NONE,LOW,LOW,NONE,HIGH,1
ADJACENT_NETWORK,HIGH,NONE,HIGH,NONE,NONE,HIGH,1
NETWORK,LOW,NONE,HIGH,HIGH,NONE,HIGH,1
NETWORK,HIGH,NONE,NONE,LOW,HIGH,NONE,1
NETWORK,HIGH,NONE,NONE,NONE,LOW,LOW,1
NETWORK,HIGH,REQUIRED,NONE,NONE,LOW,NONE,1
NETWORK,HIGH,REQUIRED,HIGH,HIGH,HIGH,HIGH,1
NETWORK,HIGH,REQUIRED,LOW,HIGH,HIGH,NONE,1
NETWORK,HIGH,REQUIRED,NONE,HIGH,LOW,NONE,1
LOCAL,LOW,REQUIRED,NONE,NONE,LOW,LOW,1
LOCAL,LOW,REQUIRED,NONE,LOW,NONE,HIGH,1
NETWORK,LOW,NONE,LOW,LOW,HIGH,NONE,1
LOCAL,LOW,REQUIRED,LOW,NONE,NONE,LOW,1
LOCAL,HIGH,REQUIRED,NONE,HIGH,NONE,NONE,1
LOCAL,HIGH,REQUIRED,NONE,LOW,LOW,LOW,1
NETWORK,HIGH,REQUIRED,NONE,HIGH,LOW,HIGH,1
LOCAL,LOW,NONE,HIGH,HIGH,NONE,HIGH,1
LOCAL,LOW,NONE,HIGH,LOW,LOW,LOW,1
LOCAL,LOW,NONE,HIGH,LOW,NONE,NONE,1
LOCAL,LOW,NONE,LOW,HIGH,HIGH,LOW,1
NETWORK,LOW,NONE,NONE,HIGH,NONE,LOW,1
LOCAL,LOW,NONE,LOW,HIGH,LOW,LOW,1
NETWORK,LOW,NONE,NONE,HIGH,LOW,LOW,1
LOCAL,LOW,NONE,LOW,HIGH,NONE,LOW,1
LOCAL,LOW,NONE,LOW,LOW,LOW,HIGH,1
LOCAL,LOW,NONE,NONE,HIGH,HIGH,NONE,1
LOCAL,LOW,NONE,NONE,LOW,LOW,LOW,1
LOCAL,LOW,NONE,NONE,NONE,HIGH,HIGH,1
LOCAL,LOW,NONE,NONE,NONE,NONE,HIGH,1
LOCAL,LOW,NONE,NONE,NONE,NONE,LOW,1
LOCAL,LOW,REQUIRED,HIGH,HIGH,HIGH,HIGH,1
LOCAL,LOW,REQUIRED,LOW,HIGH,HIGH,NONE,1
NETWORK,HIGH,NONE,NONE,HIGH,LOW,NONE,1
