CVD_ID,Date_Published,Date_Modified,Vendor,Product,Attack_Vector,Attack_Complexity,User_Interaction,Privileges_Required,Confidentiality_Impact,Integrity_Impact,Availability_Impact
CVE-2018-0024,2018-07-11T18:29Z,2018-09-11T13:15Z,juniper,junos,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0025,2018-07-11T18:29Z,2018-09-11T13:16Z,juniper,junos,NETWORK,HIGH,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0026,2018-07-11T18:29Z,2018-09-11T13:17Z,juniper,junos,NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE
CVE-2018-0027,2018-07-11T18:29Z,2018-09-11T13:27Z,juniper,junos,NETWORK,HIGH,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0029,2018-07-11T18:29Z,2018-09-11T13:51Z,juniper,junos,ADJACENT_NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0030,2018-07-11T18:29Z,2018-09-11T13:31Z,juniper,junos,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0031,2018-07-11T18:29Z,2018-09-11T13:59Z,juniper,junos,NETWORK,HIGH,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0032,2018-07-11T18:29Z,2018-09-11T13:30Z,juniper,junos,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0034,2018-07-11T18:29Z,2018-09-11T13:29Z,juniper,junos,NETWORK,HIGH,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0035,2018-07-11T18:29Z,2018-09-11T18:41Z,juniper,junos,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0037,2018-07-11T18:29Z,2018-09-11T14:07Z,juniper,junos,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0038,2018-07-11T18:29Z,2018-09-06T13:54Z,,,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0039,2018-07-11T18:29Z,2018-09-06T14:04Z,,,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0040,2018-07-11T18:29Z,2018-09-06T14:06Z,,,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0041,2018-07-11T18:29Z,2018-09-06T14:08Z,,,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0042,2018-07-11T18:29Z,2018-09-06T14:10Z,,,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0086,2018-01-18T06:29Z,2018-02-06T12:36Z,cisco,unified_customer_voice_portal,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0087,2018-03-08T07:29Z,2018-03-27T23:59Z,cisco,asyncos,NETWORK,HIGH,NONE,NONE,LOW,LOW,LOW
CVE-2018-0088,2018-01-18T06:29Z,2018-02-07T14:16Z,cisco,industrial_ethernet_4010_series_firmware,LOCAL,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-0089,2018-01-18T06:29Z,2018-02-06T12:44Z,cisco,policy_suite,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE
CVE-2018-0090,2018-01-18T06:29Z,2018-02-07T11:58Z,cisco,nx-os,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0091,2018-01-18T06:29Z,2018-02-09T18:14Z,cisco,identity_services_engine,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0092,2018-01-18T06:29Z,2018-02-06T12:46Z,cisco,nx-os,LOCAL,LOW,NONE,LOW,NONE,HIGH,HIGH
CVE-2018-0093,2018-01-18T06:29Z,2018-02-09T18:14Z,cisco,web_security_appliance,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0094,2018-01-18T06:29Z,2018-02-06T12:51Z,cisco,unified_computing_system_central_software,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0095,2018-01-18T06:29Z,2018-02-06T12:50Z,cisco,asyncos,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0096,2018-01-18T06:29Z,2018-02-06T18:32Z,cisco,prime_infrastructure,NETWORK,HIGH,NONE,HIGH,HIGH,HIGH,NONE
CVE-2018-0097,2018-01-18T06:29Z,2018-02-09T18:13Z,cisco,prime_infrastructure,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0098,2018-01-18T06:29Z,2018-02-12T16:14Z,cisco,wap150_firmware,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0099,2018-01-18T06:29Z,2018-02-15T15:12Z,cisco,d9800_firmware,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0100,2018-01-18T06:29Z,2018-02-15T14:39Z,cisco,anyconnect_secure_mobility_client,LOCAL,LOW,NONE,LOW,LOW,LOW,NONE
CVE-2018-0101,2018-01-29T20:29Z,2018-02-28T18:22Z,cisco,adaptive_security_appliance_software,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0102,2018-01-18T06:29Z,2018-02-07T12:01Z,cisco,nx-os,ADJACENT_NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0103,2018-01-04T06:29Z,2018-01-18T22:40Z,cisco,webex_business_suite,LOCAL,LOW,REQUIRED,LOW,HIGH,HIGH,HIGH
CVE-2018-0104,2018-01-04T06:29Z,2018-01-18T15:31Z,cisco,webex_business_suite,NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-0105,2018-01-18T06:29Z,2018-02-07T14:15Z,cisco,unified_communications_manager,NETWORK,LOW,NONE,NONE,LOW,NONE,NONE
CVE-2018-0106,2018-01-18T06:29Z,2018-02-15T14:40Z,cisco,elastic_services_controller,LOCAL,LOW,NONE,LOW,LOW,NONE,NONE
CVE-2018-0107,2018-01-18T06:29Z,2018-02-09T20:16Z,cisco,prime_service_catalog,NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-0108,2018-01-18T06:29Z,2018-02-05T21:54Z,cisco,webex_meetings_server,NETWORK,LOW,NONE,NONE,LOW,NONE,NONE
CVE-2018-0109,2018-01-18T06:29Z,2018-02-05T21:53Z,cisco,webex_meetings_server,NETWORK,LOW,NONE,HIGH,LOW,NONE,NONE
CVE-2018-0110,2018-01-18T06:29Z,2018-02-08T16:29Z,cisco,webex_meetings_server,NETWORK,LOW,NONE,LOW,HIGH,HIGH,NONE
CVE-2018-0111,2018-01-18T06:29Z,2018-02-05T21:55Z,cisco,webex_meetings_server,NETWORK,LOW,NONE,NONE,LOW,NONE,NONE
CVE-2018-0112,2018-04-19T20:29Z,2018-05-22T14:06Z,cisco,webex_meetings,NETWORK,LOW,REQUIRED,LOW,HIGH,HIGH,HIGH
CVE-2018-0113,2018-02-08T07:29Z,2018-03-08T17:33Z,cisco,unified_computing_system_central_software,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0114,2018-01-04T06:29Z,2018-03-29T01:29Z,cisco,node-jose,NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE
CVE-2018-0115,2018-01-18T06:29Z,2018-02-15T15:48Z,cisco,staros,LOCAL,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-0116,2018-02-08T07:29Z,2018-03-08T17:43Z,cisco,mobility_services_engine,NETWORK,LOW,NONE,NONE,LOW,LOW,NONE
CVE-2018-0117,2018-02-08T07:29Z,2018-03-13T13:26Z,cisco,asr_5000_firmware,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0118,2018-01-11T09:29Z,2018-01-31T15:38Z,cisco,unified_communications_manager,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0119,2018-02-08T07:29Z,2018-03-13T13:30Z,cisco,conference_director,NETWORK,LOW,NONE,HIGH,LOW,LOW,LOW
CVE-2018-0120,2018-02-08T07:29Z,2018-03-01T15:25Z,cisco,unified_communications_manager,NETWORK,LOW,NONE,LOW,LOW,NONE,NONE
CVE-2018-0121,2018-02-22T00:29Z,2018-03-19T17:42Z,cisco,elastic_services_controller,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0122,2018-02-08T07:29Z,2018-03-13T13:39Z,cisco,staros,LOCAL,LOW,NONE,HIGH,NONE,HIGH,NONE
CVE-2018-0123,2018-02-08T07:29Z,2018-03-13T13:53Z,cisco,ios,LOCAL,LOW,NONE,LOW,NONE,HIGH,NONE
CVE-2018-0124,2018-02-22T00:29Z,2018-03-19T15:17Z,cisco,unified_communications_domain_manager,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0125,2018-02-08T07:29Z,2018-03-13T13:55Z,cisco,rv132w_firmware,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0127,2018-02-08T07:29Z,2018-03-13T13:57Z,cisco,rv132w_firmware,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0128,2018-02-08T07:29Z,2018-03-01T15:33Z,cisco,data_center_analytics_framework,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0129,2018-02-08T07:29Z,2018-03-01T15:32Z,cisco,data_center_analytics_framework,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0130,2018-02-22T00:29Z,2018-03-19T16:04Z,cisco,virtual_managed_services,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0132,2018-02-08T07:29Z,2018-03-13T14:08Z,cisco,carrier_routing_system,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0134,2018-02-08T07:29Z,2018-03-01T19:48Z,cisco,mobility_services_engine,NETWORK,LOW,NONE,NONE,LOW,NONE,NONE
CVE-2018-0135,2018-02-08T07:29Z,2018-03-13T14:12Z,cisco,unified_communications_manager,NETWORK,LOW,NONE,LOW,LOW,NONE,NONE
CVE-2018-0136,2018-01-31T20:29Z,2018-02-28T17:17Z,cisco,ios_xr,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0137,2018-02-08T07:29Z,2018-03-13T14:16Z,cisco,prime_network,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0138,2018-02-08T07:29Z,2018-03-13T14:18Z,cisco,firepower_threat_defense,NETWORK,LOW,NONE,NONE,NONE,LOW,NONE
CVE-2018-0139,2018-02-22T00:29Z,2018-03-19T16:06Z,cisco,unified_customer_voice_portal,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0140,2018-02-08T07:29Z,2018-03-13T14:27Z,cisco,content_security_management_appliance,NETWORK,LOW,NONE,LOW,HIGH,NONE,NONE
CVE-2018-0141,2018-03-08T07:29Z,2018-03-27T16:30Z,cisco,prime_collaboration,LOCAL,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0144,2018-03-08T07:29Z,2018-03-27T15:30Z,cisco,prime_data_center_network_manager,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0145,2018-02-22T00:29Z,2018-03-13T18:55Z,cisco,data_center_analytics_framework,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0146,2018-02-22T00:29Z,2018-03-16T17:50Z,cisco,data_center_analytics_framework,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0147,2018-03-08T07:29Z,2018-03-29T13:54Z,cisco,secure_access_control_system,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0148,2018-02-22T00:29Z,2018-03-16T17:51Z,cisco,ucs_director,NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-0149,2018-06-07T21:29Z,2018-07-20T14:19Z,cisco,integrated_management_controller_supervisor,NETWORK,LOW,REQUIRED,HIGH,LOW,LOW,NONE
CVE-2018-0150,2018-03-28T22:29Z,2018-04-20T15:54Z,cisco,ios_xe,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0151,2018-03-28T22:29Z,2018-04-20T15:41Z,cisco,ios,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0152,2018-03-28T22:29Z,2018-04-20T17:27Z,cisco,ios,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0154,2018-03-28T22:29Z,2018-04-20T17:28Z,cisco,ios,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0155,2018-03-28T22:29Z,2018-04-24T17:41Z,cisco,ios,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0156,2018-03-28T22:29Z,2018-04-20T15:55Z,cisco,ios,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0157,2018-03-28T22:29Z,2018-04-24T16:26Z,cisco,ios_xe,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0158,2018-03-28T22:29Z,2018-04-23T20:38Z,cisco,ios,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0159,2018-03-28T22:29Z,2018-04-20T15:30Z,cisco,ios,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0160,2018-03-28T22:29Z,2018-04-23T20:35Z,cisco,ios_xe,NETWORK,HIGH,NONE,LOW,NONE,NONE,HIGH
CVE-2018-0161,2018-03-28T22:29Z,2018-04-23T20:36Z,cisco,ios,NETWORK,HIGH,NONE,LOW,NONE,NONE,HIGH
CVE-2018-0163,2018-03-28T22:29Z,2018-04-24T16:25Z,cisco,ios,ADJACENT_NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE
CVE-2018-0164,2018-03-28T22:29Z,2018-04-24T16:10Z,cisco,ios_xe,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0165,2018-03-28T22:29Z,2018-04-23T20:35Z,cisco,ios_xe,ADJACENT_NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0167,2018-03-28T22:29Z,2018-04-24T12:07Z,cisco,ios,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0169,2018-03-28T22:29Z,2018-04-23T18:59Z,cisco,ios,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0170,2018-03-28T22:29Z,2018-04-24T16:09Z,cisco,ios_xe,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0171,2018-03-28T22:29Z,2018-04-24T16:08Z,cisco,ios,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0172,2018-03-28T22:29Z,2018-04-23T20:35Z,cisco,ios,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0173,2018-03-28T22:29Z,2018-04-23T20:37Z,cisco,ios,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0174,2018-03-28T22:29Z,2018-04-23T20:38Z,cisco,ios,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0175,2018-03-28T22:29Z,2018-04-23T20:39Z,cisco,ios,ADJACENT_NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-0176,2018-03-28T22:29Z,2018-04-23T14:17Z,cisco,ios_xe,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0177,2018-03-28T22:29Z,2018-04-23T19:05Z,cisco,ios_xe,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0179,2018-03-28T22:29Z,2018-04-23T13:24Z,cisco,ios,NETWORK,HIGH,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0180,2018-03-28T22:29Z,2018-04-24T12:20Z,cisco,ios,NETWORK,HIGH,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0182,2018-03-28T22:29Z,2018-04-20T17:29Z,cisco,ios_xe,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0183,2018-03-28T22:29Z,2018-04-20T15:48Z,cisco,ios_xe,LOCAL,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-0184,2018-03-28T22:29Z,2018-04-20T15:35Z,cisco,ios_xe,LOCAL,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-0185,2018-03-28T22:29Z,2018-04-20T17:29Z,cisco,ios_xe,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0186,2018-03-28T22:29Z,2018-04-20T15:34Z,cisco,ios_xe,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0188,2018-03-28T22:29Z,2018-04-20T15:37Z,cisco,ios_xe,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0189,2018-03-28T22:29Z,2018-04-20T15:49Z,cisco,ios_xe,NETWORK,HIGH,NONE,LOW,NONE,NONE,HIGH
CVE-2018-0190,2018-03-28T22:29Z,2018-04-20T17:28Z,cisco,ios_xe,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0193,2018-03-28T22:29Z,2018-04-23T13:30Z,cisco,ios_xe,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0194,2018-04-02T14:29Z,2018-04-20T17:29Z,cisco,ios_xe,LOCAL,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0195,2018-03-28T22:29Z,2018-04-20T17:28Z,cisco,ios_xe,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0196,2018-03-28T22:29Z,2018-04-04T01:29Z,cisco,ios_xe,NETWORK,LOW,NONE,HIGH,NONE,HIGH,NONE
CVE-2018-0198,2018-03-27T09:29Z,2018-04-24T12:16Z,cisco,unified_communications_manager,NETWORK,LOW,NONE,NONE,LOW,NONE,NONE
CVE-2018-0199,2018-02-22T00:29Z,2018-03-13T18:55Z,cisco,jabber,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0200,2018-02-22T00:29Z,2018-03-18T11:00Z,cisco,prime_service_catalog,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0201,2018-02-22T00:29Z,2018-03-14T13:34Z,cisco,jabber,NETWORK,LOW,REQUIRED,LOW,LOW,LOW,NONE
CVE-2018-0202,2018-03-27T09:29Z,2018-04-23T20:35Z,clamav,clamav,LOCAL,LOW,REQUIRED,NONE,NONE,NONE,HIGH
CVE-2018-0203,2018-02-22T00:29Z,2018-03-18T11:00Z,cisco,unity_connection,NETWORK,LOW,NONE,NONE,NONE,LOW,NONE
CVE-2018-0204,2018-02-22T00:29Z,2018-03-19T15:26Z,cisco,prime_collaboration_provisioning,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0205,2018-02-22T00:29Z,2018-03-14T13:37Z,cisco,prime_collaboration_provisioning,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0206,2018-02-22T00:29Z,2018-03-21T13:01Z,cisco,unified_communications_manager,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0207,2018-03-08T07:29Z,2018-03-27T17:44Z,cisco,secure_access_control_server_solution_engine,LOCAL,LOW,REQUIRED,NONE,LOW,NONE,NONE
CVE-2018-0208,2018-03-08T07:29Z,2018-03-27T15:29Z,cisco,email_encryption,NETWORK,LOW,REQUIRED,LOW,LOW,LOW,NONE
CVE-2018-0209,2018-03-08T07:29Z,2018-03-27T20:26Z,cisco,small_business_500_series_stackable_managed_switches_firmware,NETWORK,LOW,NONE,LOW,NONE,NONE,HIGH
CVE-2018-0210,2018-03-08T07:29Z,2018-03-27T16:25Z,cisco,data_center_network_manager,NETWORK,LOW,REQUIRED,NONE,HIGH,HIGH,HIGH
CVE-2018-0211,2018-03-08T07:29Z,2018-03-27T16:14Z,cisco,identity_services_engine,LOCAL,LOW,NONE,HIGH,NONE,NONE,HIGH
CVE-2018-0212,2018-03-08T07:29Z,2018-03-27T15:25Z,cisco,identity_services_engine,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0213,2018-03-08T07:29Z,2018-03-26T16:22Z,cisco,identity_services_engine,NETWORK,LOW,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0214,2018-03-08T07:29Z,2018-03-27T16:14Z,cisco,identity_services_engine,LOCAL,LOW,NONE,LOW,LOW,LOW,LOW
CVE-2018-0215,2018-03-08T07:29Z,2018-03-27T16:13Z,cisco,identity_services_engine,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,LOW
CVE-2018-0216,2018-03-08T07:29Z,2018-03-27T16:12Z,cisco,identity_services_engine,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0217,2018-03-08T07:29Z,2018-03-27T20:28Z,cisco,asr_5000_firmware,LOCAL,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-0218,2018-03-08T07:29Z,2018-03-27T17:09Z,cisco,secure_access_control_server_solution_engine,LOCAL,LOW,REQUIRED,NONE,LOW,NONE,NONE
CVE-2018-0219,2018-03-08T07:29Z,2018-03-27T15:25Z,cisco,unified_computing_system_director,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0220,2018-03-08T07:29Z,2018-03-27T15:23Z,cisco,videoscape_anyres_live,NETWORK,LOW,REQUIRED,LOW,LOW,LOW,NONE
CVE-2018-0221,2018-03-08T07:29Z,2018-03-26T16:48Z,cisco,identity_services_engine,LOCAL,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-0222,2018-05-17T03:29Z,2018-06-20T13:48Z,,,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0223,2018-03-08T07:29Z,2018-03-27T15:20Z,cisco,security_manager,NETWORK,LOW,REQUIRED,NONE,LOW,LOW,NONE
CVE-2018-0224,2018-03-08T07:29Z,2018-03-27T16:12Z,cisco,staros,LOCAL,LOW,NONE,HIGH,HIGH,HIGH,HIGH
CVE-2018-0225,2018-06-08T20:29Z,2018-08-13T21:47Z,cisco,appdynamics_app_iq,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH
CVE-2018-0226,2018-05-02T22:29Z,2018-06-13T12:56Z,cisco,mobility_express_software,NETWORK,HIGH,NONE,LOW,HIGH,HIGH,HIGH
CVE-2018-0227,2018-04-19T20:29Z,2018-07-06T01:29Z,cisco,firepower_threat_defense,NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE
CVE-2018-0228,2018-04-19T20:29Z,2018-07-06T01:29Z,cisco,adaptive_security_appliance_software,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0229,2018-04-19T20:29Z,2018-05-24T16:35Z,cisco,adaptive_security_appliance_software,NETWORK,LOW,REQUIRED,NONE,HIGH,NONE,NONE
CVE-2018-0230,2018-04-19T20:29Z,2018-05-23T13:55Z,cisco,adaptive_security_appliance_software,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0231,2018-04-19T20:29Z,2018-07-06T01:29Z,cisco,adaptive_security_appliance_software,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0233,2018-04-19T20:29Z,2018-05-24T16:56Z,cisco,firepower_management_center,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0234,2018-05-02T22:29Z,2018-06-13T12:54Z,cisco,aironet_access_point_software,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0235,2018-05-02T22:29Z,2018-06-13T12:50Z,cisco,wireless_lan_controller_software,ADJACENT_NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH
CVE-2018-0237,2018-04-19T20:29Z,2018-05-24T17:15Z,cisco,advanced_malware_protection_for_endpoints,NETWORK,LOW,NONE,NONE,NONE,LOW,NONE
